Назва університету,City,Region,Код спеціальності,Назва спеціальності та освітньої програми,Description-specialty,Вартість навчання
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""",Берегове,Закарпатська,A4,Середня освіта (Угорська мова та зарубіжна література),,15000
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""",Берегове,Закарпатська,A4,Середня освіта (Українська мова і література),,15000
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""",Берегове,Закарпатська,A2,Дошкільна освіта,,16000
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""",Берегове,Закарпатська,A4,Середня освіта (Математика),,16000
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""",Берегове,Закарпатська,A4,Середня освіта (Біологія та здоров’я людини),,16850
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""",Берегове,Закарпатська,A4,Середня освіта (Географія),,16850
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""",Берегове,Закарпатська,A4,Середня освіта (Хімія),,16850
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""",Берегове,Закарпатська,A3,Початкова освіта,,17000
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""",Берегове,Закарпатська,A4,Середня освіта (Історія та громадянська освіта),,17000
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""",Берегове,Закарпатська,D1,Облік і оподаткування,,18750
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""",Берегове,Закарпатська,K4,Туризм та рекреація,,20500
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""",Берегове,Закарпатська,A4,Середня освіта (Англійська мова та зарубіжна література),,22500
Білоцерківський національний аграрний університет,Біла Церква,Київська,H1,Агрономія,,23900
Білоцерківський національний аграрний університет,Біла Церква,Київська,G21,Біотехнології та біоінженерія,,23900
Білоцерківський національний аграрний університет,Біла Церква,Київська,H5,Водні біоресурси та аквакультура,,23900
Білоцерківський національний аграрний університет,Біла Церква,Київська,G18,Геодезія та землеустрій,,23900
Білоцерківський національний аграрний університет,Біла Церква,Київська,E2,Екологія,,23900
Білоцерківський національний аграрний університет,Біла Церква,Київська,H4,Лісове господарство,,23900
Білоцерківський національний аграрний університет,Біла Церква,Київська,H3,Садово-паркове господарство,,23900
Білоцерківський національний аграрний університет,Біла Церква,Київська,H4,Технологія виробництва та переробки продукції тваринництва,,23900
Білоцерківський національний аграрний університет,Біла Церква,Київська,G13,Харчові технології,,23900
Білоцерківський національний аграрний університет,Біла Церква,Київська,C1,Економіка,,25900
Білоцерківський національний аграрний університет,Біла Церква,Київська,G4,"Електроенергетика, електротехніка та електромеханіка",,25900
Білоцерківський національний аграрний університет,Біла Церква,Київська,D5,Маркетинг,,25900
Білоцерківський національний аграрний університет,Біла Церква,Київська,D3,Менеджмент,,25900
Білоцерківський національний аграрний університет,Біла Церква,Київська,D1,Облік і оподаткування,,25900
Білоцерківський національний аграрний університет,Біла Церква,Київська,D3,"Підприємництво, торгівля та біржова діяльність",,25900
Білоцерківський національний аграрний університет,Біла Церква,Київська,D8,Право,,25900
Білоцерківський національний аграрний університет,Біла Церква,Київська,C4,Психологія,,25900
Білоцерківський національний аграрний університет,Біла Церква,Київська,D4,Публічне управління та адміністрування,,25900
Білоцерківський національний аграрний університет,Біла Церква,Київська,B11,Філологія (англійська мова та література),,25900
Білоцерківський національний аграрний університет,Біла Церква,Київська,D2,"Фінанси, банківська справа та страхування",,25900
Буковинський державний медичний університет,Чернівці,Чернівецька,I2,Медична психологія,,31900
Буковинський державний медичний університет,Чернівці,Чернівецька,I5,Медсестринство,,31900
Буковинський державний медичний університет,Чернівці,Чернівецька,I7,Терапія та реабілітація,,31900
Буковинський державний медичний університет,Чернівці,Чернівецька,I4,Технології медичної діагностики та лікування,,31900
Буковинський державний медичний університет,Чернівці,Чернівецька,I6,"Фармація, промислова фармація",,35000
Буковинський державний медичний університет,Чернівці,Чернівецька,I2,Медицина,,55000
Буковинський державний медичний університет,Чернівці,Чернівецька,I1,Стоматологія,,58000
"Вищий навчальний заклад ""Міжнародний технологічний університет ""Миколаївська політехніка""",Миколаїв,Миколаївська,K9,Автомобільний транспорт,,18000
"Вищий навчальний заклад ""Міжнародний технологічний університет ""Миколаївська політехніка""",Миколаїв,Миколаївська,F7,Комп’ютерна інженерія,,18000
"Вищий навчальний заклад ""Міжнародний технологічний університет ""Миколаївська політехніка""",Миколаїв,Миколаївська,D1,Облік і оподаткування,,18000
"Вищий навчальний заклад ""Міжнародний технологічний університет ""Миколаївська політехніка""",Миколаїв,Миколаївська,D2,"Фінанси, банківська справа та страхування",,18000
"Вищий навчальний заклад ""Університет імені Альфреда Нобеля""",Дніпро,Дніпропетровська,F3,Комп’ютерні науки,,62000
"Вищий навчальний заклад ""Університет імені Альфреда Нобеля""",Дніпро,Дніпропетровська,D5,Маркетинг,,62000
"Вищий навчальний заклад ""Університет імені Альфреда Нобеля""",Дніпро,Дніпропетровська,D3,Менеджмент,,62000
"Вищий навчальний заклад ""Університет імені Альфреда Нобеля""",Дніпро,Дніпропетровська,C1,Міжнародні економічні відносини,,62000
"Вищий навчальний заклад ""Університет імені Альфреда Нобеля""",Дніпро,Дніпропетровська,C4,Психологічна допомога та корекційно- розвивальна робота,,62000
"Вищий навчальний заклад ""Університет імені Альфреда Нобеля""",Дніпро,Дніпропетровська,B11,Філологія: Переклад (англійська),,62000
"Вищий навчальний заклад ""Університет імені Альфреда Нобеля""",Дніпро,Дніпропетровська,D5,Електронна комерція,,85000
"Вищий навчальний заклад ""Університет імені Альфреда Нобеля""",Дніпро,Дніпропетровська,G12,Інжиніринг безпілотних систем,,85000
Вінницький державний педагогічний університет імені Михайла Коцюбинського,Вінниця,Вінницька,A5,Професійна освіта (Цифрові технології),,24000
Вінницький державний педагогічний університет імені Михайла Коцюбинського,Вінниця,Вінницька,A4,Середня освіта (Географія),,24000
Вінницький державний педагогічний університет імені Михайла Коцюбинського,Вінниця,Вінницька,A4,Середня освіта (Інформатика),,24000
Вінницький державний педагогічний університет імені Михайла Коцюбинського,Вінниця,Вінницька,A4,Середня освіта (Природничі науки),,24000
Вінницький державний педагогічний університет імені Михайла Коцюбинського,Вінниця,Вінницька,A4,Середня освіта (Технології),,24000
Вінницький державний педагогічний університет імені Михайла Коцюбинського,Вінниця,Вінницька,A4,Середня освіта (Фізика та астрономія),,24000
Вінницький державний педагогічний університет імені Михайла Коцюбинського,Вінниця,Вінницька,A4,Середня освіта (Хімія),,24000
Вінницький державний педагогічний університет імені Михайла Коцюбинського,Вінниця,Вінницька,A4,Середня освіта (Захист України),,25000
Вінницький державний педагогічний університет імені Михайла Коцюбинського,Вінниця,Вінницька,A4,Середня освіта (Музичне мистецтво),,25000
Вінницький державний педагогічний університет імені Михайла Коцюбинського,Вінниця,Вінницька,A4,Середня освіта (Фізична культура),,25000
Вінницький державний педагогічний університет імені Михайла Коцюбинського,Вінниця,Вінницька,K3,Фізична культура і спорт,,25000
Вінницький національний аграрний університет,Вінниця,Вінницька,H7,Агроінженерія,,12500
Вінницький національний аграрний університет,Вінниця,Вінницька,H1,Агрономія,,12500
Вінницький національний аграрний університет,Вінниця,Вінницька,G11,Галузеве машинобудування,,12500
Вінницький національний аграрний університет,Вінниця,Вінницька,E2,Екологія,,12500
Вінницький національний аграрний університет,Вінниця,Вінницька,G4,"Електроенергетика, електротехніка та електромеханіка",,12500
Вінницький національний аграрний університет,Вінниця,Вінницька,H1,Захист і карантин рослин,,12500
Вінницький національний аграрний університет,Вінниця,Вінницька,H4,Лісове господарство,,12500
Вінницький національний аграрний університет,Вінниця,Вінницька,H1,Садівництво та виноградарство,,12500
Вінницький національний аграрний університет,Вінниця,Вінницька,H3,Садово-паркове господарство,,12500
Вінницький національний аграрний університет,Вінниця,Вінницька,H4,Технологія виробництва і переробки продукції тваринництва,,12500
Вінницький національний аграрний університет,Вінниця,Вінницька,G13,Харчові технології,,12500
Вінницький національний аграрний університет,Вінниця,Вінницька,K2,Готельно-ресторанна справа,,21300
Вінницький національний аграрний університет,Вінниця,Вінницька,F3,Комп’ютерні науки,,21300
Вінницький національний аграрний університет,Вінниця,Вінницька,D4,Публічне управління та адміністрування,,21300
Вінницький національний аграрний університет,Вінниця,Вінницька,K4,Туризм і рекреація,,21300
Вінницький національний технічний університет,Вінниця,Вінницька,G7,"Автоматизація, комп’ютерно-інтегровані технології та робототехніка",,24800
Вінницький національний технічний університет,Вінниця,Вінницька,K9,Автомобільний транспорт,,24800
Вінницький національний технічний університет,Вінниця,Вінницька,G22,Біомедична інженерія,,24800
Вінницький національний технічний університет,Вінниця,Вінницька,G20,Будівництво та цивільна інженерія,,24800
Вінницький національний технічний університет,Вінниця,Вінницька,G5,Відновлювані джерела енергії та гідроенергетика,,24800
Вінницький національний технічний університет,Вінниця,Вінницька,G11,Галузеве машинобудування,,24800
Вінницький національний технічний університет,Вінниця,Вінницька,G4,"Електроенергетика, електротехніка та електромеханіка",,24800
Вінницький національний технічний університет,Вінниця,Вінницька,G6,Електроніка,,24800
Вінницький національний технічний університет,Вінниця,Вінницька,G7,Електронні комунікації та радіотехніка,,24800
Вінницький національний технічний університет,Вінниця,Вінницька,G6,Інформаційно-вимірювальні технології,,24800
Вінницький національний технічний університет,Вінниця,Вінницька,G8,Матеріалознавство,,24800
Вінницький національний технічний університет,Вінниця,Вінницька,G6,Мікро- та наносистемна техніка,,24800
Вінницький національний технічний університет,Вінниця,Вінницька,G9,Прикладна механіка,,24800
Вінницький національний технічний університет,Вінниця,Вінницька,G5,Теплоенергетика,,24800
Вінницький національний технічний університет,Вінниця,Вінницька,G2,Технології захисту навколишнього середовища,,24800
Вінницький національний технічний університет,Вінниця,Вінницька,G17,Архітектура та містобудування,,26800
Вінницький національний технічний університет,Вінниця,Вінницька,F5,Інформаційні системи та технології,,26800
Вінницький національний технічний університет,Вінниця,Вінницька,F7,Комп’ютерна інженерія,,26800
Вінницький національний технічний університет,Вінниця,Вінницька,F3,Комп’ютерні науки,,26800
"Волинський інститут імені В'ячеслава Липинського Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",Луцьк,Волинська,C4,Психологія,,22200
"Волинський інститут імені В'ячеслава Липинського Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",Луцьк,Волинська,D3,Менеджмент,,23440
"Волинський інститут імені В'ячеслава Липинського Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",Луцьк,Волинська,D8,Право,,27300
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,G7,"Автоматизація, комп’ютерно-інтегровані технології та робототехніка",,28500
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,B2,Дизайн (Дизайн одягу (взуття)),,28500
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,E2,Екологія,,28500
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,C6,Культурологія,,28500
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,E7,Математика,,28500
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,C8,"Музеєзнавство, пам’яткознавство",,28500
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,E6,Прикладна фізика та наноматеріали,,28500
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,A4,Середня освіта (Інформатика),,28500
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,A4,Середня освіта (Природничі науки),,28500
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,A4,Середня освіта (Фізика та астрономія),,28500
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,E5,Фізика та астрономія,,28500
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,G13,Харчові технології,,28500
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,E3,Хімія,,28500
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,E1,Біологія,,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,E2,Географія,,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,G18,Геодезія та землеустрій,,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,K2,Готельно-ресторанна справа,,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,C1,Економіка,,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,I5,Ерготерапія,,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,C7,Журналістика,,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,D7,"Інформаційна, бібліотечна та архівна справа",,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,B9,Історія та археологія,,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,F5,Кібербезпека та захист інформації,,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,F3,Комп'ютерні науки та інформаційні технології,,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,H4,Лісове господарство,,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,D5,Маркетинг,,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,D3,Менеджмент,,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,B5,Музичне мистецтво,,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,E4,Науки про Землю (Гідрологія),,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,D1,Облік і оподаткування,,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,B2,"Образотворче мистецтво, декоративне мистецтво, реставрація",,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,D3,"Підприємництво, торгівля та біржова діяльність",,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,C2,Політологія,,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,K9,Правоохоронна діяльність,,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,C4,Психологія,,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,A4,Середня освіта (Географія),,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,A4,Середня освіта (Фізична культура),,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,I7,Соціальна робота,,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,I7,Соціальне забезпечення,,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,A6,Спеціальна освіта (Корекційна психопедагогіка та логопедія),,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,K4,Туризм,,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,K3,Фізична культура і спорт,,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,I5,Фізична терапія,,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,B11,"Філологія (Германські мови та літератури, перша – німецька)",,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,B11,"Філологія (Романські мови та літератури, перша – французька)",,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,B11,"Філологія (Слов’янські мови та літератури, перша – польська)",,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,B11,Філологія (Українська мова та література),,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,D2,"Фінанси, банківська справа та страхування",,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,B5,Хореографія,,30700
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,K3,Національна безпека,,32500
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,C3,"Міжнародні відносини, суспільні комунікації та регіональні студії",,34000
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,A6,Прикладна лінгвістика,,34000
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,B11,"Філологія (Германські мови та літератури, перша – англійська)",,34000
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,B2,Дизайн (Графічний дизайн),,35600
Волинський національний університет імені Лесі Українки,Луцьк,Волинська,D8,Право,,35600
"Державний заклад ""Луганський державний медичний університет""",Рівне,Рівненська,I5,Медсестринство,,44000
"Державний заклад ""Луганський державний медичний університет""",Рівне,Рівненська,I6,"Фармація, промислова фармація",,44000
"Державний заклад ""Луганський державний медичний університет""",Рівне,Рівненська,I2,Медицина,,46000
"Державний заклад ""Луганський державний медичний університет""",Рівне,Рівненська,I1,Стоматологія,,55000
Державний заклад «Південноукраїнський національний педагогічний університет імені К.Д. Ушинського»,Одеса,Одеська,A4,Середня освіта (Музичне мистецтво),,24200
Державний заклад «Південноукраїнський національний педагогічний університет імені К.Д. Ушинського»,Одеса,Одеська,A4,Середня освіта (Українська мова та література),,24200
Державний заклад «Південноукраїнський національний педагогічний університет імені К.Д. Ушинського»,Одеса,Одеська,B2,Дизайн,,25100
Державний заклад «Південноукраїнський національний педагогічний університет імені К.Д. Ушинського»,Одеса,Одеська,B2,"Образотворче мистецтво, декоративне мистецтво, реставрація",,25100
Державний заклад «Південноукраїнський національний педагогічний університет імені К.Д. Ушинського»,Одеса,Одеська,C4,Психологія,,25100
Державний заклад «Південноукраїнський національний педагогічний університет імені К.Д. Ушинського»,Одеса,Одеська,K3,Фізична культура і спорт,,25100
"Державний університет ""Житомирська політехніка""",Житомир,Житомирська,E2,Екологія,,36000
"Державний університет ""Житомирська політехніка""",Житомир,Житомирська,G3,Електрична інженерія,,36000
"Державний університет ""Житомирська політехніка""",Житомир,Житомирська,D3,Менеджмент,,36000
"Державний університет ""Житомирська політехніка""",Житомир,Житомирська,C3,Міжнародні відносини,,36000
"Державний університет ""Житомирська політехніка""",Житомир,Житомирська,E4,Науки про Землю,,36000
"Державний університет ""Житомирська політехніка""",Житомир,Житомирська,G2,Технології захисту навколишнього середовища,,36000
"Державний університет ""Житомирська політехніка""",Житомир,Житомирська,G5,"Електроніка, електронні комунікації, приладобудування та радіотехніка",,38400
"Державний університет ""Житомирська політехніка""",Житомир,Житомирська,C2,Політологія,,39600
"Державний університет ""Житомирська політехніка""",Житомир,Житомирська,B11,Філологія,,39600
"Державний університет ""Житомирська політехніка""",Житомир,Житомирська,C1,Економіка та міжнародні економічні відносини,,42000
"Державний університет ""Житомирська політехніка""",Житомир,Житомирська,C1,Економіка та міжнародні економічні відносини,,42000
"Державний університет ""Житомирська політехніка""",Житомир,Житомирська,C7,Журналістика,,42000
"Державний університет ""Житомирська політехніка""",Житомир,Житомирська,D5,Маркетинг,,42000
"Державний університет ""Житомирська політехніка""",Житомир,Житомирська,D1,Облік і оподаткування,,42000
"Державний університет ""Житомирська політехніка""",Житомир,Житомирська,D8,Право,,42000
"Державний університет ""Житомирська політехніка""",Житомир,Житомирська,C4,Психологія,,42000
"Державний університет ""Житомирська політехніка""",Житомир,Житомирська,D4,Публічне управління та адміністрування,,42000
"Державний університет ""Житомирська політехніка""",Житомир,Житомирська,D2,"Фінанси, банківська справа, страхування та фондовий ринок",,42000
"Державний університет ""Житомирська політехніка""",Житомир,Житомирська,F7,Комп’ютерна інженерія,,43200
"Державний університет ""Житомирська політехніка""",Житомир,Житомирська,F5,Кібербезпека та захист інформації,,44400
"Державний університет ""Житомирська політехніка""",Житомир,Житомирська,F3,Комп’ютерні науки,,44400
"Державний університет ""Житомирська політехніка""",Житомир,Житомирська,F2,Інженерія програмного забезпечення,,48000
Дніпровський державний університет внутрішніх справ,Дніпро,Дніпропетровська,K9,Правоохоронна діяльність,,25500
Дніпровський державний університет внутрішніх справ,Дніпро,Дніпропетровська,C4,Психологія,,28000
Дніпровський державний університет внутрішніх справ,Дніпро,Дніпропетровська,D8,Право,,32500
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,G12,Авіаційна та ракетно-космічна техніка,,18000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,E2,Географія,,18000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,B2,Дизайн (022.01 Графічний дизайн),,18000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,G4,"Електроенергетика, електротехніка та електромеханіка",,18000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,G7,Електронні комунікації та радіотехніка,,18000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,B9,Історія та археологія,,18000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,F5,Кібербезпека та захист інформації,,18000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,F7,Комп’ютерна інженерія,,18000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,G6,Мікро- та наносистемна техніка,,18000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,E4,Науки про Землю,,18000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,B2,"Образотворче мистецтво,
декоративне мистецтво, реставрація",,18000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,A4,Середня освіта,,18000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,I7,Соціальна робота,,18000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,B11,"Філологія (035.033 Слов’янські мови
та літератури (переклад включно), перша - польська)",,18000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,B11,"Філологія (035.069 Східні мови
та літератури (переклад включно), перша – японська)",,18000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,G13,Харчові технології,,18000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,G13,Харчові технології,,18000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,E1,Біологія та біохімія,,22000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,G21,Біотехнології та біоінженерія,,22000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,G11,Галузеве машинобудування,,22000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,E2,Екологія,,22000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,C7,Журналістика,,22000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,H1,Захист і карантин рослин,,22000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,D5,Маркетинг,,22000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,G8,Матеріалознавство,,22000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,D3,Менеджмент,,22000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,C3,"Міжнародні відносини,
суспільні комунікації та регіональні студії",,22000
