,,,,,,,,,,,,
Code,Українська мова,Математика,Історія України,Англійська мова,Німецька мова,Французька мова,Іспанська мова,Біологія,Фізика,Хімія,Українська література,Географія
,Українська мова,Математика,Історія України,Англійська мова,Німецька мова,Французька мова,Іспанська мова,Біологія,Фізика,Хімія,Українська література,Географія
G8,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,4","0,3","0,2","0,2"
G9,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,4","0,3","0,2","0,2"
G10,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,4","0,3","0,2","0,2"
G11,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,4","0,3","0,2","0,2"
G12,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,4","0,3","0,2","0,2"
G13,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,4","0,3","0,2","0,2"
G14,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,4","0,3","0,2","0,2"
G15,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,4","0,3","0,2","0,2"
G16,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,3","0,3","0,5","0,2","0,2"
G17,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,5","0,5","0,5","0,2","0,2"
G18,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,3","0,2","0,2"
G19,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,5","0,2","0,2"
G20,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,3","0,2","0,2"
G21,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,3","0,2","0,2"
G22,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,3","0,2","0,2"
H1,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,3","0,2","0,2"
H2,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,5","0,2","0,2"
H3,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,3","0,2","0,2"
H4,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,5","0,2","0,2"
H5,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,3","0,2","0,2"
H6,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,3","0,2","0,2"
H7,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,4","0,4","0,4","0,2","0,2"
I1,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,5","0,5","0,5","0,2","0,2"
I2,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,5","0,2","0,2"
I3,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,5","0,5","0,5","0,2","0,3"
I4,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
I5,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,4","0,3","0,2","0,3"
I6,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,3","0,2","0,2"
I7,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,5","0,2","0,2"
I8,"0,35","0,35","0,3","0,3","0,3","0,3","0,3","0,5","0,5","0,5","0,25","0,3"
I9,"0,35","0,35","0,3","0,3","0,3","0,3","0,3","0,5","0,5","0,5","0,25","0,3"
I10,"0,4","0,3","0,3","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,3","0,3"
I11,"0,4","0,3","0,3","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,3","0,3"
J2,"0,4","0,3","0,3","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,3","0,3"
J3,"0,4","0,3","0,3","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,3","0,3"
J4,"0,4","0,3","0,3","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,3","0,3"
J5,"0,35","0,4","0,25","0,4","0,4","0,4","0,4","0,5","0,4","0,4","0,25","0,25"
J6,"0,4","0,3","0,3","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,3","0,3"
J7,"0,35","0,4","0,25","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,25","0,25"
J8,"0,35","0,4","0,25","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,25","0,25"
K3,"0,35","0,4","0,25","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,25","0,25"
K4,"0,35","0,4","0,25","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,25","0,25"
K8,"0,35","0,4","0,25","0,35","0,35","0,35","0,35","0,5","0,4","0,4","0,25","0,25"
K9,"0,35","0,4","0,25","0,35","0,35","0,35","0,35","0,5","0,4","0,4","0,25","0,25"
K10,"0,35","0,4","0,25","0,35","0,35","0,35","0,35","0,5","0,4","0,4","0,25","0,25"
,"0,35","0,4","0,25","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,25","0,25"
,"0,35","0,4","0,25","0,35","0,35","0,35","0,35","0,5","0,4","0,4","0,25","0,25"
,"0,35","0,4","0,25","0,35","0,35","0,35","0,35","0,5","0,4","0,4","0,25","0,25"
,"0,35","0,4","0,25","0,35","0,35","0,35","0,35","0,5","0,4","0,4","0,25","0,25"
,"0,35","0,4","0,25","0,25","0,25","0,25","0,25","0,2","0,3","0,3","0,25","0,35"
,"0,35","0,4","0,25","0,25","0,25","0,25","0,25","0,2","0,3","0,3","0,25","0,35"
,"0,35","0,4","0,25","0,25","0,25","0,25","0,25","0,35","0,4","0,4","0,25","0,25"
,"0,3","0,5","0,2","0,5","0,5","0,5","0,5","0,2","0,4","0,3","0,2","0,2"
,"0,3","0,5","0,2","0,5","0,5","0,5","0,5","0,2","0,4","0,3","0,2","0,2"
,"0,3","0,5","0,2","0,5","0,5","0,5","0,5","0,2","0,4","0,3","0,2","0,2"
,"0,3","0,5","0,2","0,5","0,5","0,5","0,5","0,2","0,4","0,3","0,2","0,2"
,"0,3","0,5","0,2","0,25","0,25","0,25","0,25","0,2","0,5","0,3","0,2","0,2"
,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,3","0,2","0,2"
,"0,35","0,4","0,25","0,25","0,25","0,25","0,25","0,35","0,4","0,4","0,25","0,25"
,"0,35","0,3","0,35","0,35","0,35","0,35","0,35","0,3","0,35","0,35","0,25","0,35"
,"0,35","0,4","0,25","0,25","0,25","0,25","0,25","0,35","0,4","0,4","0,25","0,25"
